New ,Old ,Pokémon 
#064 ,#069 ,Bellsprout 
#065 ,#070 ,Weepinbell 
#066 ,#071 ,Victreebel 
#067 ,#187 ,Hoppip 
#068 ,#188 ,Skiploom 
#069 ,#189 ,Jumpluff 
#070 ,#046 ,Paras 
#071 ,#047 ,Parasect 
#072 ,#060 ,Poliwag 
#073 ,#061 ,Poliwhirl 
#074 ,#062 ,Poliwrath 
#075 ,#186 ,Politoed 
#076 ,#129 ,Magikarp 
#077 ,#130 ,Gyarados 
#078 ,#118 ,Goldeen 
#079 ,#119 ,Seaking 
#080 ,#079 ,Slowpoke 
#081 ,#080 ,Slowbro 
#082 ,#199 ,Slowking 
#083 ,#043 ,Oddish 
#084 ,#044 ,Gloom 
#085 ,#045 ,Vileplume 
#086 ,#182 ,Bellossom 
#087 ,#096 ,Drowzee 
#088 ,#097 ,Hypno 
#089 ,#063 ,Abra 
#090 ,#064 ,Kadabra 
#091 ,#065 ,Alakazam 
#092 ,#132 ,Ditto 
#093 ,#204 ,Pineco 
#094 ,#205 ,Forretress 
#095 ,#029 ,Nidoran♀ 
#096 ,#030 ,Nidorina 
#097 ,#031 ,Nidoqueen 
#098 ,#032 ,Nidoran♂ 
#099 ,#033 ,Nidorino 
#100 ,#034 ,Nidoking 
#101 ,#193 ,Yanma 
#102 ,#191 ,Sunkern 
#103 ,#192 ,Sunflora 
#104 ,#102 ,Exeggcute 
#105 ,#103 ,Exeggutor 
#106 ,#185 ,Sudowoodo 
#107 ,#202 ,Wobbuffet 
#108 ,#048 ,Venonat 
#109 ,#049 ,Venomoth 
#110 ,#123 ,Scyther 
#111 ,#212 ,Scizor 
#112 ,#127 ,Pinsir 
#113 ,#214 ,Heracross 
#114 ,#109 ,Koffing 
#115 ,#110 ,Weezing 
#116 ,#088 ,Grimer 
#117 ,#089 ,Muk 
#118 ,#081 ,Magnemite 
#119 ,#082 ,Magneton 
#120 ,#100 ,Voltorb 
#121 ,#101 ,Electrode 
#122 ,#190 ,Aipom 
#123 ,#209 ,Snubbull 
#124 ,#210 ,Granbull 
#125 ,#037 ,Vulpix 
#126 ,#038 ,Ninetales 
#127 ,#058 ,Growlithe 
#128 ,#059 ,Arcanine 
#129 ,#234 ,Stantler 
#130 ,#183 ,Marill 
#131 ,#184 ,Azumarill 
#132 ,#050 ,Diglett 
#133 ,#051 ,Dugtrio 
#134 ,#056 ,Mankey 
#135 ,#057 ,Primeape 
#136 ,#052 ,Meowth 
#137 ,#053 ,Persian 
#138 ,#054 ,Psyduck 
#139 ,#055 ,Golduck 
#140 ,#066 ,Machop 
#141 ,#067 ,Machoke 
#142 ,#068 ,Machamp 
#143 ,#236 ,Tyrogue 
#144 ,#106 ,Hitmonlee 
#145 ,#107 ,Hitmonchan 
#146 ,#237 ,Hitmontop 
#147 ,#203 ,Girafarig 
#148 ,#128 ,Tauros 
#149 ,#241 ,Miltank 
#150 ,#240 ,Magby 
#151 ,#126 ,Magmar 
#152 ,#238 ,Smoochum 
#153 ,#124 ,Jynx 
#154 ,#239 ,Elekid 
#155 ,#125 ,Electabuzz 
#156 ,#122 ,Mr. Mime 
#157 ,#235 ,Smeargle 
#158 ,#083 ,Farfetch'd 
#159 ,#177 ,Natu 
#160 ,#178 ,Xatu 
#161 ,#211 ,Qwilfish 
#162 ,#072 ,Tentacool 
#163 ,#073 ,Tentacruel 
#164 ,#098 ,Krabby 
#165 ,#099 ,Kingler 
#166 ,#213 ,Shuckle 
#167 ,#120 ,Staryu 
#168 ,#121 ,Starmie 
#169 ,#090 ,Shellder 
#170 ,#091 ,Cloyster 
#171 ,#222 ,Corsola 
#172 ,#223 ,Remoraid 
#173 ,#224 ,Octillery 
#174 ,#170 ,Chinchou 
#175 ,#171 ,Lanturn 
#176 ,#086 ,Seel 
#177 ,#087 ,Dewgong 
#178 ,#108 ,Lickitung 
#179 ,#114 ,Tangela 
#180 ,#133 ,Eevee 
#181 ,#134 ,Vaporeon 
#182 ,#135 ,Jolteon 
#183 ,#136 ,Flareon 
#184 ,#196 ,Espeon 
#185 ,#197 ,Umbreon 
#186 ,#116 ,Horsea 
#187 ,#117 ,Seadra 
#188 ,#230 ,Kingdra 
#189 ,#207 ,Gligar 
#190 ,#225 ,Delibird 
#191 ,#220 ,Swinub 
#192 ,#221 ,Piloswine 
#193 ,#216 ,Teddiursa 
#194 ,#217 ,Ursaring 
#195 ,#231 ,Phanpy 
#196 ,#232 ,Donphan 
#197 ,#226 ,Mantine 
#198 ,#227 ,Skarmory 
#199 ,#084 ,Doduo 
#200 ,#085 ,Dodrio 
#201 ,#077 ,Ponyta 
#202 ,#078 ,Rapidash 
#203 ,#104 ,Cubone 
#204 ,#105 ,Marowak 
#205 ,#115 ,Kangaskhan 
#206 ,#111 ,Rhyhorn 
#207 ,#112 ,Rhydon 
#208 ,#198 ,Murkrow 
#209 ,#228 ,Houndour 
#210 ,#229 ,Houndoom 
#211 ,#218 ,Slugma 
#212 ,#219 ,Magcargo 
#213 ,#215 ,Sneasel 
#214 ,#200 ,Misdreavus 
#215 ,#137 ,Porygon 
#216 ,#233 ,Porygon2 
#217 ,#113 ,Chansey 
#218 ,#242 ,Blissey 
#219 ,#131 ,Lapras 
#220 ,#138 ,Omanyte 
#221 ,#139 ,Omastar 
#222 ,#140 ,Kabuto 
#223 ,#141 ,Kabutops 
#224 ,#142 ,Aerodactyl 
#225 ,#143 ,Snorlax 
#226 ,#001 ,Bulbasaur 
#227 ,#002 ,Ivysaur 
#228 ,#003 ,Venusaur 
#229 ,#004 ,Charmander 
#230 ,#005 ,Charmeleon 
#231 ,#006 ,Charizard 
#232 ,#007 ,Squirtle 
#233 ,#008 ,Wartortle 
#234 ,#009 ,Blastoise 
#235 ,#144 ,Articuno 
#236 ,#145 ,Zapdos 
#237 ,#146 ,Moltres 
#238 ,#243 ,Raikou 
#239 ,#244 ,Entei 
#240 ,#245 ,Suicune 
#241 ,#147 ,Dratini 
#242 ,#148 ,Dragonair 
#243 ,#149 ,Dragonite 
#244 ,#246 ,Larvitar 
#245 ,#247 ,Pupitar 
#246 ,#248 ,Tyranitar 
#247 ,#249 ,Lugia 
#248 ,#250 ,Ho-Oh 
#249 ,#150 ,Mewtwo 
#250 ,#151 ,Mew 
#251 ,#251 ,Celebi 
